singer,song,album,lyrics
Ahmet Kaya,"(Potbori) Fabrika Kızı, Cama Çıkma, Fabrika Önü",Şafak Türküsü,"Bir mavi otobüs gelirdi
Seni alır giderdi
O mavi otobüs var ya
Seni alır giderdi
Kaldırımlar kaldırımlar varya
Seni alır giderdi
O mavi otobüs varya
Seni alır giderdi
Fabrikada tütün sarar sanki kendi içer gibi
Oturmuşta hayal kurar bütün insanlar gibi
Cama cama
Cama çıkma sevdiğim O fabrikanın onu varya
O kalabalık insanlar varya
Seni alır giderdi
Saat 6''yı 10 geçe varya
O mavi otobüs varya
O insanlar varya
Seni alır giderdi
Fabrikada tütün sarar 
Sanki kendi içer gibi
Oturmuşta hayal kurar 
Bütün insanlar gibi"
Ahmet Kaya,Acı Ninni,Baş Kaldırıyorum,"Uyusun ha iyi büyüsün,
Camlar buğulanmasın
Sen uyu uyusun,
Bulutlar uyanmasın
Işıklar uyanmasın
Camlar buğulanmasın
Sen uyu, uyanmasın
İstanbul uyusun
Karagümrük uyusun
Fatih uyusun
Atatürk bulvarında
Rüyalar büyüsün Sen uyu, uyusun
İstanbul uyanmasın
Gemiler uyanmasın
Camlar buğulanmasın
Cibali uyanmasın
Kalbim buğulanmasın
Gemiler uyanmasın
Camlar buğulanmasın"
Ahmet Kaya,Acılara Tutunmak,Acılara Tutunmak,"Kavuşmak özgürlükse özgürdük ikimiz de
Elleri çığlık çığlık yanyana iki dünya
İkimiz iki dağdan
İki hırçın su gibi akıp gelmiştik
Buluşmuştuk bir kavşakta
Unutmuştuk ayrılığı
Yok saymıştık özlemeyi
Şarkımıza dalmıştık
Mutluluk mavi çocuk oynardı bahçemizde
Acı çekmek özgürlükse 
Özgürüz ikimiz de 
O yuvasız çalıkuşu 
Bense kafeste kanarya 
O dolaşmış daldan dala 
Savurmuş yüreğini 
Ben bölmüşüm yüreğimi 
Başkaldıran dizelere 
Aramakmış oysa sevmek 
Özlemekmiş oysa sevmek 
Bulup bulup yitirmekmiş 
Düşsel bir oyuncağı Yalanmış hepsi yalan 
Yalanmış hepsi yalan 
Sevmek diye bir şey vardı 
Sevmek diye bir şey yokmuş 
Acı çektim günlerce 
Acı çektim susarak 
Şu kısacık konuklukta 
Deprem kargaşasında 
Yaşadım birkaç bin yıl 
Acılara tutunarak 
Acı çekmek özgürlükse 
Özgürüz ikimiz de 
Acılardan arta kalan 
İşte şu bakışlarmış 
Buğu diye gözlerinde 
Gün batımı bulutlarmış
Yalanmış hepsi yalan
Yalanmış hepsi yalan
Savrulup gitmek varmış
Ayrı yörüngelerde"
Ahmet Kaya,Ada Sahilleri,Hoşçakalın Gözüm,"Ada sahillerinde bekliyorum
Her zaman yollarını gözlüyorum
Seni senden güzelim istiyorum
Beni şad et Şadiye başın için (x2)
Her zaman sen yalancı ben kani
Her zaman orta yerde bir mani
Her zaman sen uzakta ben müştak
Her tellakide bir hayalin berrak (x2)
Nerede o mis gibi leylaklar
Sararıp solmak üzere yapraklar
Bana mesken olunca topraklar
Beni yad et güzelim başın için (x2)"
Ahmet Kaya,Adı Bahtiyar,Dinle Sevgili Ülkem,"Geçiyor önümden, sirenler içinde
Ah eller üstünde, çiçekler içinde (x2)
Dudağımda yarım bir sevdanın hüznü
Aslan gibi göğsü türküler içinde (x2)
Rastlardım avluda hep volta atarken
Cigara içerken yahut coblanırken (x2)
Kimseyle konuşmaz dal gibi titrerdi
Çocukça sevdiği çiçeği sularken (x2)
Diyarbakırlıymış adı Bahtiyar
Suçu saz çalmakmış öğrendiğim kadar (x2)
Geçiyor önümden gül yüzlü Bahtiyar
Yara aldığı yerde kalan sazı kadar (x2) Beni tez saldılar o kaldı içeride
Çok sonra duydum ki Yozgat'ta sürgünde (x2)
Ne yapsa ne etse üstüne gitmişler
Mavi gök yüzünü ona dar etmişler (x2)
Gazetede çıktı üç satır yazıyla
Uzamış sakalı çatlamış sazıyla (x2)
Birileri ona ölmedin diyor da
Ölüm ilanında hüzünle gülüyordu(x2)
Diyarbakırlıymış adı Bahtiyar
Suçu saz çalmakmış öğrendiğim kadar (x2)
Geçiyor önümden gül yüzlü Bahtiyar
Yara aldığı yerde kalan sazı kadar (x4)"
Ahmet Kaya,Adı Yılmaz,Dosta Düşmana Karşı,"Dalyan gibi bir çocuktu,
Benim gözümde küçüktü
Küstüde dağlara çıktı,
İner mi inmez mi bilmem
Şimdi dağların tozudur
Belki isyanın sazıdır
Hala kalbimde sızıdır
Diner mi dinmez mi bilmem
Adı Yılmaz kendi yılmaz
Makamı yok dem tutulmaz
Dağlara soru sorulmaz
Döner mi dönmez mi bilmem Mavi gözleri boncuktur
Ölüm korkusu şuncuktur
Azrail atı kancıktır
Biner mi binmez mi bilmem
Parkasına kar yağmıştır
Bir kenarda ağlamıştır
Belki elleri yanmıştır
Söner mi sönmez mi bilmem
Adı Yılmaz kendi yılmaz
Makamı yok dem tutulmaz
Dağlardan hesap sorulmaz
Döner mi dönmez mi bilmem"
Ahmet Kaya,Ah,Resitaller,"Yüzünün yarısı göz kadife yansımalı,
Bulutlu siyah ah bulutları eflatun
O boy aynasından çıktı fransızın malı
Vişne asidi vardı tadında rujunun
Ah sinema yıldızı filan olmalı
Ağızlığı kristal son derece uzun
Bir kibrit çakıldı mı ah yağmurluklu kız
Alevinden anlamlı dumanlar üfürüyor
Ah çocuk yüzünde gül goncası ağız
Saçlarından incecik su tozu dökülüyor
Sığınak gibi derin ağaçlar gibi yalnız
Karartma başlamış ışıklar örtülüyor
Ellerinde ruh gibi ah portakal kokusu
Kırkmaları morsalkım göz kapakları saydam
Çok vapurun battığı bir liman orospusu
Bir hırsla öptüm ki ah ölürüm unutamam
Ay ışığında deniz akordeon solosu Pırıl pırıl yaşadım üç dakika tastamam
Görkemli çadırında italyan lunaparkın
Sanki zeytin düşürür yerlere gözlerini
Ah tahtına kurulmuş bol sakallı bir kadın
Sutyenler tutmuyor çılğın göğüslerini
Kaşları ip incesi kumral kirpikleri kalın
Kim görse şaşırır sakalının süslerini
Tavana asılmış sosyalist saçlarından
Ah sabah sabah omuzları kan içinde
İşkence sonrası genç bir kadın militan
Yığınlar uğulduyor hummalı gençliğinde
Adı bile çıkmamış dudaklarından
Doğru yaşadığının sımsıkı bilincinde"
Ahmet Kaya,Ah Ulan Rıza,Resitaller,"Neden hala gelmedi? 
Saati mi şaşırdı bu hıyar? 
Gerçi hiç saati olmadı ama 
En azından birine sorar 
Cebimde bir lira desen yok! 
Madara olduk meyhaneye 
Ahh eşek kafam benim 
Nasıl da güvendik bu hergeleye? 
Gelse balığa çıkacaktık 
Ne çekersek kızartıp rakıyla yutacaktık 
Kafamız tam olunca şarkılar döktürüp, 
Enterasan hayellere dalacaktık 
Bu sandalı geçen hafta çalıntıdan düşürdük 
Arkadaşlar ısrar etti, 
Biz de iyi olur, bize uyar diye düşündük 
Saat sekizde gelecekti 
Bana beş milyon borç verecekti 
Yoksa O nemrut karısıkaçtı da, 
Onun peşinden mi gitti? 
Eğer öyleyse yandık! 
Gudubet gene yaptı yapacağını! 
Geçen sene merdivenden itip 
Kırmıştı Rıza'nın bacağını 
Korkuyorum, bir gün ya kendini asacak, 
Ya da horlarken Rıza'yı boğacak 
Bak şimdi acıdım, aşkolsun adama 
Ben olsam vallahi başedemem! 
Hele beş tane velet var ki boy boy, 
Allah'tan düşmanıma dilemem 
Aslında iyi çocuktur Rıza , efendi huyludur 
Herkesin suyuna gider 
Yoksa, kalıba vursan hani, 
Tek başına on tane adam eder 
Bir keresinde hiç unutmam, 
Üç beş zibidi haraca dadandı 
Rıza sandalyeyi kaptığı gibi 
Herifleri hastaneye kadar kovaladı! 
Aynı mahallede büyüdük, 
Aynı kızları sevdik, 
Aynı kafadaydık 
Orta ikiden bıraktık, matematik ağır geliyordu 
Biz başka havadaydık 
Aynı gömleği giyer, aynı sigaraya takılır, 
Aynı takımı tutardık 
Fener'in maçına iddiaya girer, 
Millete az mı yemek ısmarlattık 
Bir tek askerde ayrı düştük 
Bana Bornova düştü, ona Gelibolu 
Döner dönmez evlendirdiler, 
En büyük salaklığı da bu oldu 
Ben se hiç düşünmedim, zaten param yoktu Hep tek tabanca gedim 
Benim beğendiğimi anam istemedi, 
Onun gösterdiğini ben sevmedim 
Neyse bunlar derin mevzu 
Anlaşıldı bu herif gelmeyecek 
Ufaktan yol alayım 
Anam evde yanlız, şimdi meraktan ölecek 
Gittim, vurdum kafayı yattım 
Rüyamda gördüm gülümseyerek geldiğini 
Ne bilirdim yolda kamyon çarpıp, 
Hastaneye kavuşmadan can verdiğini?! 
Vay be Rıza
Sonunda sen de düştün Azrail'in peşine! 
Dün boşuna günahını almışım 
Ne olur kızma bu kardeşine 
Öğlen kahvede söylediler Rıza ölmüş! dediler 
Ne kolay söylediler 
Sanki dev bir taş ocağını, 
Kökünden dinamitleyip, üstüme devirdiler! 
Ahh dostum O kocaman gövdene 
O beyaz kefeni nasıl kıyıp giydirdiler? 
O zalim tabutun tahtalarını, 
Senin üzerine nasıl böyle çivilediler? 
Yani sen şimdi gittin! 
Yani bir daha olmayacak mısın? 
Yani bir daha borç vermeyecek, 
Rakı ısmarlamayacak mısın? 
Peki, beni kim kızdıracak? 
Kim zar tutacak, kim ağzını şapırdatacak? 
Peki, beni bu köhne dünyada 
Senin anladığın kadar kim anlayacak? 
Ulan Rıza 
Ne hayallerimiz vardı oysa 
Ne acayip şeyler yapacaktık 
Totoyu bulunca dükkan açıp, 
Adını Dostlar Meyhanesi koyacaktık 
Talih yüzümüze gülecekti be 
Karıyı boşayıp, 
Sıfır bir Mercedes alacaktık 
Hafta sonu iki yavruyu kapıp 
Boğaz yolunda o biçim fiyaka atacaktık 
Ah ulan Rıza 
Bu mahallenin nesini beğanmedin de, 
Öte yana taşındın? 
Arasıra gıcıklaşırdın ama inan 
Benim en kral arkadaşımdın 
Ulan Rızaben şimdi bu koca deryada tek başıma ne halt 
ederim? 
Senden ayrılacağımı sanma 
Birkaç güne kalmaz ben de gelirim"
Ahmet Kaya,Aklanacak Dünya,Yazmalı Gelin,"Alnının orta yerinde
Bir azap dövmesi hayat
Ve kader
Acının
Çilenin harmanıdır
Yiğitlik zulmün sofrasında
Dayanmak da
Direnmek de
Yarın bunları böyle yazacak
Yarın bunları böyle yazacak
Aklanacak direnme günleri
Kavga aklanacak
Aklanacak dost da
Düşman da
Gökyüzü kandan
İrinden azade
Gökte
Suda
Toprakta
İlk cemre ile
Aklanacak dünya
Zordur zorbalığı omuzlamak
Yokluğu
Acıyı omuzlamak
Gönül vermek ateş kusan kavgaya
Bir idam fermanı gibi belalı
Uzak bir umut gibi yalnız
Ve mayın gibi döşenmek
Hesabı kitabı görülmüş
Zincirlenmiş dağlara
Sonra dostun nice dost
Düşmanın nice düşman olduğunu görmek Fırtınayı
Tufanı göğüslemek
Yenilmemek
Yıkılmamak
Zordur
Açlığın gencecik gelinlere pusu
Ve körpe canlara mezar olduğu
Anasını sattığımın dünyasında
Dayanmak
Direnmek
Ve bir bayrak gibi gerilmek
Zulmün
Zorbalığın
Dönekliğin önüne
Zor olan bir şey daha var elbet
Alnının orta yerinde
Hıyanetin mührü
Ve göğsünün gürültüsünde
Korku yatarken
Aydınlık günleri düşlemek
Sevgiyle
İçtenlikle öpmek çocukları
Ve dünyaya
Gururla bakabilmek
Kimseyi suçlamayacaksın elbet
Umut kör kuyulara tutsak
İnanç zindana zincirlenmişse
Kör bir bıçak gibi çaresiz
Boş silahlar gibi yaslıysalar
Yorgunsalar
Bin yılların köleliğinden
Şifresi çözülmeyen bir haber gibi
Gözlerinin içinde duracaksın"
Ahmet Kaya,Al Öfkemi,Hoşçakalın Gözüm,"Her sürgünün gözlerine
Bu sebepten ah geceye
Kanatlanmış güvercine
Kırılacağım, kırılacağım
Yeter ki bil sen
Yorgun alnımda şafaklar
Bir düş kursun arkadaşlar
Bırak iz sürsün şarkılar
Yeter ki bul sen Mahpushane duvarlarına
Hüznümü yazacağım
Her gün seni düşünüp
Yok olacağım
Al öfkemi koy yanına
Günü düşür dağlarıma
Haydi, dokun gözyaşıma
Ağlayacağım, ağlayacağım
Yeter ki gül sen"
